,Reference Code,Solution Name (Eng),Cosine Similarity,Business Reference Code
1588,S-0066,Smart Water Management,0.4984453320503235,N-0011
1589,S-0123,Complete Encryption with HSM,0.4974700212478638,N-0011
1590,S-0120,Raspect-ACE,0.4960076212882996,N-0011
1591,S-0126,Self Service Business Intelligence,0.4949401915073395,N-0011
1592,S-0069,Citizen Cloud,0.4939043521881104,N-0011
1593,S-0161,LiDAR and Optical Sensing applications for Smart City,0.4925977885723114,N-0011
1594,S-0041,A.I. and speech solutions by Nexify and iFLYTEK,0.4916494488716126,N-0011
1595,S-0064,Smart Education(Class VR),0.4903689026832581,N-0011
1596,S-0053,Real-Time Origin-Destination Analysis Tool (RODAT）,0.4889175593852997,N-0011
1597,S-0027,Big Data Enabler Service (project based),0.4854514002799988,N-0011
1598,S-0244,ServiceNow - ITSM solution,0.477674275636673,N-0011
1599,S-0051,Insight Driven Organization (IDO),0.4774084091186523,N-0011
1600,S-0074,AI Chiller Plant – Smart Chiller Plant Optimization using Artificial Intelligence,0.4716581702232361,N-0011
1601,S-0034,Cloud Energy Management Platform,0.4694231748580933,N-0011
1602,S-0108,SparkXIO Smart Car Park Management System,0.4663159549236298,N-0011
1603,S-0015,3D Face Re-identification,0.4656208753585816,N-0011
1604,S-0026,Knowledge Management Solution (KM Power),0.46496927738189703,N-0011
1605,S-0193,Dahua Body Temp Measurement Solution,0.4647849798202514,N-0011
1606,S-0133,PANGA - Data Infrastructure Edge Computing for Smart Cities,0.4642221927642822,N-0011
1607,S-0016,Cyclops -- Smart City & unmanned store solution,0.4620746970176697,N-0011
1608,S-0287,Siemens Mobility (e-)bike sharing powered by AI,0.4614596664905548,N-0011
1609,S-0075,Altai SuperWiFi Solution,0.4610080122947693,N-0011
1610,S-0116,Smart Parking Solution,0.4588460922241211,N-0011
1611,S-0209,Control-M (BMC Software),0.4563007652759552,N-0011
1612,S-0110,People Counting System (PCS),0.4533709287643433,N-0011
1613,S-0090,Smart Employee Learning Management,0.4531851708889008,N-0011
1614,S-0098,ECOPLANT Solar Tracking Solar Panel System,0.452718198299408,N-0011
1615,S-0272,Hybrid/ E Bus/ Mini Bus and Ferry Boat,0.4509168863296509,N-0011
1616,S-0068,Reliability Centered Asset Management - Dynamic (RCAM-dyn),0.4482482075691223,N-0011
1617,S-0132,Mobility Mesh Wi-Fi Application for Smart City,0.44702279567718506,N-0011
1618,S-0173,Go VR Immersive - Hololens 2 Mixed Reality Solution,0.4453842639923096,N-0011
1619,S-0218,Chief,0.442207932472229,N-0011
1620,S-0052,OpenCloud CMP,0.4391108751296997,N-0011
1621,S-0005,Smart Lamp Pole and Robotic,0.4302372336387634,N-0011
1622,S-0073,Enlighted Multi-Features Micro IoT Sensors Solution,0.42180001735687256,N-0011
1623,S-0063,UHD Multi-Channel Video Live Broadcast,0.4202552437782288,N-0011
1624,S-0281,"Smart 5G Integrated Multi-Operator Active Distributed Antenna Solution for Malls, Venues and Stadiums",0.4109717607498169,N-0011
1625,S-0245,Locobike：Automatic Bicycle Rental System,0.4015016853809357,N-0011
1626,S-0251,Self Service Bike Rental Solution,0.4010281264781952,N-0011
1627,S-0062,Parkingbnb,0.3947624564170837,N-0011
1628,S-0226,"Sky Drone - Autonomous Drone Solution (""Drone-in-a-Box"")",0.38998425006866455,N-0011
1629,S-0036,Intelligent Traffic Monitoring,0.3881497085094452,N-0011
1630,S-0077,Anywhere Networks,0.37151867151260376,N-0011
1631,S-0160,Smart glass,0.3545342683792114,N-0011
1632,S-0072,Digital Twin of the City (or Town),0.7995381355285645,N-0012
1633,S-0044,AI Escalator Safety Monitoring System,0.7963615655899048,N-0012
1634,S-0286,IoT Sensors and Automatic Monitoring System (AMS),0.7910118103027344,N-0012
1635,S-0266,Site Audit and Inspection Recording System,0.7856227159500122,N-0012
1636,S-0079,"1/ AccuID, 2/ Pedestrian Analytics, 3/ Vehicle Analytics",0.784310519695282,N-0012
1637,S-0203,Government payment scheme online application and data processing,0.7800318002700806,N-0012
1638,S-0081,iQ-Road and Traffic Management,0.7723050117492676,N-0012
1639,S-0022,A smart lamp pole system with AI-enabled security system,0.7699464559555054,N-0012
1640,S-0002,DataCube Data Intelligent Automation Solution,0.7673005461692809,N-0012
1641,S-0122,"Smart City Solution - IoT, AI, Data Analytics Platform, Control",0.7672130465507507,N-0012
1642,S-0119,Ziizau - Optimization of route design,0.7664190530776978,N-0012
1643,S-0259,Software Robotic Solution - iBot,0.7629790306091309,N-0012
1644,S-0031,PowerArena - Smart City Operations Platform,0.7591650485992432,N-0012
1645,S-0056,Advanced Contextual Analytic Solution for public enquiries,0.7546718120574951,N-0012
1646,S-0112,Pyxis - The Internet of Things(IoT) Solution for Construction 2.0 and Beyond,0.7535593509674072,N-0012
1647,S-0035,Document Delivery By Unmanned Vehicle,0.7530382871627808,N-0012
1648,S-0001,PixelEye Object Detection,0.7506234049797058,N-0012
1649,S-0053,Real-Time Origin-Destination Analysis Tool (RODAT）,0.7435333728790283,N-0012
1650,S-0254,FormExtractor,0.7420978546142578,N-0012
1651,S-0260,Mobile platform with handheld devices for on-site inspection and remote work duties,0.7420628070831299,N-0012
1652,S-0299,Office Delivery Robot,0.7406079769134521,N-0012
1653,S-0231,AI Information push service management system,0.7396423816680908,N-0012
1654,S-0162,Automate the verification of electronic documents,0.739030122756958,N-0012
1655,S-0296,BLOK Pass App for Travel Bubble,0.7389118671417236,N-0012
1656,S-0196,Personnel and Asset positioning management system,0.7386856079101562,N-0012
1657,S-0082,A.I. Contact Center and User Engagement Solution,0.7355965375900269,N-0012
1658,S-0006,Centimeter level precision GNSS positioning Android tablet/smartphone,0.7344763278961182,N-0012
1659,S-0204,DOLPHIN Indoor Positioning Service (IPS),0.7329740524291992,N-0012
1660,S-0039,iQ-Dwell Time Management System,0.7324365973472595,N-0012
1661,S-0043,fieldConnect,0.732107400894165,N-0012
1662,S-0011,Precise Outdoor Crowd Analysis,0.7315090894699097,N-0012
1663,S-0102,Miovision's Portable Solution for Traffic Data Collection,0.7302815914154053,N-0012
1664,S-0047,Smart Taxpayer Services with Machine Learning,0.7300085425376892,N-0012
1665,S-0038,Hybrid Reality Platform,0.7296558022499084,N-0012
1666,S-0010,Precise Facility Crowd Analysis,0.7278625965118408,N-0012
1667,S-0239,InterOps Accelerator,0.7243119478225708,N-0012
1668,S-0009,Precise And Responsive Indoor Location Tracking,0.7241217494010925,N-0012
1669,S-0065,Smart Mobility,0.7232100963592529,N-0012
1670,S-0243,LiDAR Road Monitoring Solutions based on Deep Learning Technology,0.722554624080658,N-0012
1671,S-0152,Datax,0.7212151885032654,N-0012
1672,S-0322,NB-IoT / LoRa Dual-detection Smart Parking Sensing Technology,0.7196801900863647,N-0012
1673,S-0214,ACX Visitor Management System,0.7141854763031006,N-0012
1674,S-0169,Robotic Assistant,0.7138744592666626,N-0012
1675,S-0028,ShipAny - First Smart Logistics Gateway for HK Domestic Logistics Service,0.7134332656860352,N-0012
1676,S-0055,Smart City Electric Vehicle (EV) Charging Infrastructure Solution,0.7128103375434875,N-0012
1677,S-0030,IoT Building Access Control System,0.7127728462219238,N-0012
1678,S-0037,4D Immersive CAVE,0.712295651435852,N-0012
1679,S-0197,WCL Robotic Process Automation Solution,0.7119481563568115,N-0012
1680,S-0232,"""Smart"" Car Park Management System",0.7116050720214844,N-0012
1681,S-0161,LiDAR and Optical Sensing applications for Smart City,0.7090482711791992,N-0012
1682,S-0049,Blockchain Solution,0.7088003158569336,N-0012
1683,S-0195,SuperAcc Document Intelligence,0.7086228728294373,N-0012
1684,S-0129,Automatic ID/Travel Document Recognition and Validation - OCR Solution,0.7063844203948975,N-0012
1685,S-0111,Smart car park solution,0.7062308788299559,N-0012
1686,S-0003,GeoSpatial Cloud,0.7062145471572876,N-0012
1687,S-0096,Clare.AI Asian Language Chatbot Solutions,0.7057089805603027,N-0012
1688,S-0067,AR Smart Glass Assisted for equipment training and O&M,0.7053968906402588,N-0012
1689,S-0288,Mixed language Chatbot system with AI and voice functions,0.7044792175292969,N-0012
1690,S-0219,"VR Virtual Store, Training & Education System",0.7043220996856691,N-0012
1691,S-0262,Mobile application development,0.7035011053085327,N-0012
1692,S-0275,SMore-OCR,0.7016740441322327,N-0012
1693,S-0029,"Field Services Management System using IoT, GIS and Mobile Technologies",0.6998056173324585,N-0012
1694,S-0225,DocAnalyzer - Document Review Solution,0.6977894306182861,N-0012
1695,S-0103,SP-RFID Smart Asset Management System,0.6977165341377258,N-0012
1696,S-0153,Dynatrace,0.6970741748809814,N-0012
1697,S-0023,Payment Solution for Housing Authority and Leisure and Cultural Department,0.6970728635787964,N-0012
1698,S-0256,AIOps (Artificial Intelligence for IT Operations) Solution,0.6950982213020325,N-0012
1699,S-0264,Smart Parking with Video Analytics,0.6943101286888123,N-0012
1700,S-0253,Intelligent Face Mask,0.6936731338500977,N-0012
1701,S-0089,Smart Infrastructure Projects Planning and Execution,0.6935803890228271,N-0012
1702,S-0085,SAP Geospatial Asset Management,0.6925346851348877,N-0012
1703,S-0093,DataOS System,0.6922658681869507,N-0012
1704,S-0105,Blockchain solution,0.6922136545181274,N-0012
1705,S-0224,OceanX Workflow,0.6919925808906555,N-0012
1706,S-0095,Create Efficient and Simplify Business Processes Using NFC,0.6917722821235657,N-0012
1707,S-0174,VR Training & Education System,0.6866621971130371,N-0012
1708,S-0060,FROM Network Audit Programs,0.6865755915641785,N-0012
1709,S-0020,Machines Predictive Maintenance,0.6863483190536499,N-0012
1710,S-0045,SAP Big Data Solution,0.6862307786941528,N-0012
1711,S-0165,Health Monitoring System,0.6862135529518127,N-0012
1712,S-0220,3D Spatial Intelligence Platform for flow and traffic managements,0.686020016670227,N-0012
1713,S-0186,Technology of independent intellectual property identity authentication and tracking of close contacts of patients to assist in epidemic prevention and control and return to work,0.6848171353340149,N-0012
1714,S-0087,Smart Citizen and Employee Self-Services,0.684145450592041,N-0012
1715,S-0016,Cyclops -- Smart City & unmanned store solution,0.6841424703598022,N-0012
1716,S-0261,DragOnce Platform,0.6839612722396851,N-0012
1717,S-0100,Super Massive 3D Model Data Expert,0.6830904483795166,N-0012
1718,S-0113,Video Analytics Solution,0.6828644275665283,N-0012
1719,S-0061,A.I. and Mixed Reality Solution,0.6827108263969421,N-0012
1720,S-0249,Robotic Process Automation with A.I. Data Capturing Capability,0.6827044486999512,N-0012
1721,S-0202,One card e-payment solution for GBA(Guangdong-hong kong-Macao Greater Bay area),0.6824184656143188,N-0012
1722,S-0071,All-in-one Data Center - iDCmini System,0.6822494864463806,N-0012
1723,S-0179,"""TeleVoice""  AI Robot Solution for DHS (Demographic and Health Surveys)",0.6820102334022522,N-0012
1724,S-0236,Workflow automation solution,0.6818937063217163,N-0012
1725,S-0213,Radar-based smart motion and position tracking system,0.6813095808029175,N-0012
1726,S-0099,NB IoT Sensor Solution,0.6805517673492432,N-0012
1727,S-0183,An Intelligent Solution for Automatic Processing and Chasing of Documents,0.6800755262374878,N-0012
1728,S-0046,SAP Digital Boardroom,0.6798372268676758,N-0012
1729,S-0221,AI and IT enhanced learning platform,0.6778024435043335,N-0012
1730,S-0194,UWB Beacon RTLS Solution,0.6770528554916382,N-0012
1731,S-0228,eClass Corporate Learning Management System (LMS),0.6763560771942139,N-0012
1732,S-0115,All-in-one event management software,0.6763542890548706,N-0012
1733,S-0027,Big Data Enabler Service (project based),0.67393559217453,N-0012
1734,S-0013,Public Event Tracking and Early Warning Analysis System,0.6738965511322021,N-0012
1735,S-0211,Customised Mobile Application solution,0.67281174659729,N-0012
1736,S-0250,UiPath Automation Platform,0.6723203659057617,N-0012
1737,S-0084,NFC Product Authentication,0.6719685792922974,N-0012
1738,S-0283,All-in-one Mobile Productivity Platform,0.6716998815536499,N-0012
1739,S-0118,Alteryx,0.6689051389694214,N-0012
1740,S-0142,NetMotion Mobility,0.6675621271133423,N-0012
1741,S-0216,BMC Helix Service & Operations Management,0.6657495498657227,N-0012
1742,S-0300,Smart Guiding Robot,0.6655220985412598,N-0012
1743,S-0017,Falling Alert System for Elderly Care-- Optical Monitoring System (OMS),0.6646771430969238,N-0012
1744,S-0121,Chatbot Solution and NLP applications from ZhuiYi Technology,0.6646368503570557,N-0012
1745,S-0187,Provide an implementation plan for the Hongkong Financial Secretary's policy of granting HK $10 thousand to permanent residents aged 18 or above.,0.6624844074249268,N-0012
1746,S-0106,"Smart bin trash collection solution, especially remote area",0.6621882915496826,N-0012
1747,S-0282,Chatbot Solution - ccRobot,0.6611274480819702,N-0012
1748,S-0032,AI+IAQ Proptech: Zonal object counting by skeleton & form recognition integrated with indoor environmental control and room utilization management,0.6609668731689453,N-0012
1749,S-0036,Intelligent Traffic Monitoring,0.6609581112861633,N-0012
1750,S-0252,Critical Event Management,0.6606458425521851,N-0012
1751,S-0059,EMF Workplaces Evaluation Program,0.6602666974067688,N-0012
1752,S-0234,Pixel Eye Vision-Based Fall Detection,0.6599569916725159,N-0012
1753,S-0054,TicketME Blockchain Ticketing Platform,0.6595045328140259,N-0012
1754,S-0287,Siemens Mobility (e-)bike sharing powered by AI,0.6575784683227539,N-0012
1755,S-0058,IoT Cybersecurity Testing and Certification Program,0.6573101878166199,N-0012
1756,S-0235,Pixel Eye Safety Helmets Detection,0.6558647155761719,N-0012
1757,S-0272,Hybrid/ E Bus/ Mini Bus and Ferry Boat,0.6540712118148804,N-0012
1758,S-0004,Euclideon Vault - Smart City IOT 3D visualization,0.6540035009384155,N-0012
1759,S-0241,Intelligent Data Platform,0.6536051034927368,N-0012
1760,S-0101,​LANDRAY Office Automation (OA) system solutions,0.653311550617218,N-0012
1761,S-0164,Relate App,0.6530841588973999,N-0012
1762,S-0190,Una Interactive Training Platform,0.6528908610343933,N-0012
1763,S-0066,Smart Water Management,0.6528515815734863,N-0012
1764,S-0263,SafeGuard Series,0.6524183750152588,N-0012
1765,S-0124,Enterprise Intelligent Assistant,0.6514543890953064,N-0012
1766,S-0104,Litbulb Technologies,0.6513921022415161,N-0012
1767,S-0205,Centrak Quarantine Management Solution,0.6510629057884216,N-0012
1768,S-0134,Smart Building - Energy Management and Optimization Solutions,0.6510113477706909,N-0012
1769,S-0094,Digital Transformation with Low code development platform,0.6509992480278015,N-0012
1770,S-0110,People Counting System (PCS),0.6504685878753662,N-0012
1771,S-0143,Cyberbit,0.6496753096580505,N-0012
1772,S-0024,Automated Refuse Collection System with 1 chute for multi fractions,0.6486243605613708,N-0012
1773,S-0230,STEMHUB Education Platform,0.6484720706939697,N-0012
1774,S-0242,Queue-it -  Virtual Waiting Room,0.6481977701187134,N-0012
1775,S-0240,Multilingual Voice Assistant,0.6481289863586426,N-0012
1776,S-0233,Area monitoring solution using 3D camera with privacy-preserving,0.6474083662033081,N-0012
1777,S-0289,Life Planning & Blockchain,0.6472600698471069,N-0012
1778,S-0125,"BIM, BMS and IoT Integration",0.6436170339584351,N-0012
1779,S-0008,Shape Security - Shape Enterprise Defense,0.642901599407196,N-0012
1780,S-0120,Raspect-ACE,0.6425527334213257,N-0012
1781,S-0171,Augmented Reality (AR) model,0.6415743827819824,N-0012
1782,S-0265,Business Process Management Platform,0.6413718461990356,N-0012
1783,S-0051,Insight Driven Organization (IDO),0.6413179636001587,N-0012
1784,S-0041,A.I. and speech solutions by Nexify and iFLYTEK,0.64033043384552,N-0012
1785,S-0154,Cisco Stealthwatch Encrypted Traffic Analytics,0.6392179727554321,N-0012
1786,S-0209,Control-M (BMC Software),0.6386368870735168,N-0012
1787,S-0280,Digital parking solutions for enterprise (Include online pre booking and payment settle),0.6379001140594482,N-0012
1788,S-0292,Telepresence and Video Conferencing Solution,0.6378042101860046,N-0012
1789,S-0137,Splunk,0.6356359720230103,N-0012
1790,S-0215,Self Check-in system for self-quarantined personal,0.6345869302749634,N-0012
1791,S-0128,Iris by HKT - From Surveillance to Intelligence,0.6342008113861084,N-0012
1792,S-0212,AI Solution for Outdoor People Counting without invading privacy,0.6339572072029114,N-0012
1793,S-0223,OceanX Share,0.6339236497879028,N-0012
1794,S-0155,Stella Enterprise Chatbot Builder,0.633403480052948,N-0012
1795,S-0170,Nixplay Signage,0.6333835124969482,N-0012
1796,S-0210,AI Cloud for Smart Construction,0.6330339908599854,N-0012
1797,S-0114,Worker Insights,0.6330251693725586,N-0012
1798,S-0255,Authgear,0.6304788589477539,N-0012
1799,S-0191,NoQ E Form registration and quota distribution for massive traffic,0.6304416656494141,N-0012
1800,S-0083,Smart Pharma Packaging,0.6300393342971802,N-0012
1801,S-0107,POARD Your Presentation Stage,0.629503607749939,N-0012
1802,S-0133,PANGA - Data Infrastructure Edge Computing for Smart Cities,0.6290836334228516,N-0012
1803,S-0127,Event Management technology,0.628664493560791,N-0012
1804,S-0172,Earthy,0.6281152963638306,N-0012
1805,S-0126,Self Service Business Intelligence,0.6259885430335999,N-0012
1806,S-0157,NLP-powered Chatbot by Xiaomi,0.6252935528755188,N-0012
1807,S-0238,Rice Robotics,0.6242655515670776,N-0012
1808,S-0175,Thermal Imaging Body Temperature Measurement Solution,0.6241822242736816,N-0012
1809,S-0021,ReportNOW,0.6236966848373413,N-0012
1810,S-0131,ISS Project Management System,0.6236874461174011,N-0012
1811,S-0163,Ai-Knowie,0.6232703328132629,N-0012
1812,S-0279,RoomQ virtual waiting room for massive traffic,0.6227601766586304,N-0012
1813,S-0217,nCloud Fault-Tolerant Geo-distributed Hyperconverged Infrastructure (HCI),0.6215142607688904,N-0012
1814,S-0005,Smart Lamp Pole and Robotic,0.6204659938812256,N-0012
1815,S-0247,Seclore Digital Rights Management,0.6198259592056274,N-0012
1816,S-0063,UHD Multi-Channel Video Live Broadcast,0.619777500629425,N-0012
1817,S-0033,ATAL’s Cloud-based Chiller Plant Energy Management Platform (EM-Platform),0.6189866662025452,N-0012
1818,S-0245,Locobike：Automatic Bicycle Rental System,0.618472158908844,N-0012
1819,S-0208,Indoor Map and Positioning for Smart City,0.6182656288146973,N-0012
1820,S-0068,Reliability Centered Asset Management - Dynamic (RCAM-dyn),0.6171939373016357,N-0012
1821,S-0057,Artificial Intelligence Security Surveillance Protection  (AISSP),0.6165200471878052,N-0012
1822,S-0040,RVM One Stop Recycling Solution,0.616107702255249,N-0012
1823,S-0050,Deloitte ASSIST,0.6154303550720215,N-0012
1824,S-0069,Citizen Cloud,0.6143916845321655,N-0012
1825,S-0132,Mobility Mesh Wi-Fi Application for Smart City,0.6139551997184753,N-0012
1826,S-0026,Knowledge Management Solution (KM Power),0.6129704117774963,N-0012
1827,S-0182,AppProtect+ (RASP) / YESsafe Zero Login (OTP) / AccessMatrix Universal Sign-On (SSO),0.6120938062667847,N-0012
1828,S-0116,Smart Parking Solution,0.6115016937255859,N-0012
1829,S-0147,Privacy-aware people counting system using Smart Radar sensor,0.6111043691635132,N-0012
1830,S-0135,ISS Analytics Services,0.6084778308868408,N-0012
1831,S-0007,Smart Life,0.6082488894462585,N-0012
1832,S-0062,Parkingbnb,0.6069142818450928,N-0012
1833,S-0229,SonoWatermark,0.6057067513465881,N-0012
1834,S-0019,Personalized Education System,0.6052930355072021,N-0012
1835,S-0156,Neo,0.6041617393493652,N-0012
1836,S-0271,Server Data Analysis Service (User & Data),0.6041526794433594,N-0012
1837,S-0091,Next Generation Growable Optical Networks,0.6037373542785645,N-0012
1838,S-0273,Talos,0.6025718450546265,N-0012
1839,S-0048,AI-based Application,0.6015704274177551,N-0012
1840,S-0097,Smart Home e-Health Monitoring and Care System,0.6008393168449402,N-0012
1841,S-0188,Data Vaccinator,0.6005655527114868,N-0012
1842,S-0078,Finger Vein PBI (Public Biometric Infrastructure) Platform for Smart City ID Authentication,0.6002082824707031,N-0012
1843,S-0092,Enable the wireless connectivity for IoT devices,0.5998058915138245,N-0012
1844,S-0168,IXIA Vision ONE (Network Packet Broker),0.5997145175933838,N-0012
1845,S-0075,Altai SuperWiFi Solution,0.5995153188705444,N-0012
1846,S-0012,"Monitoring and Early Warning System for Holding Concentration, Insider Trading, Short-selling and Stock Price Manipulation",0.5984854698181152,N-0012
1847,S-0267,Smart Fever Screening System,0.5982781052589417,N-0012
1848,S-0251,Self Service Bike Rental Solution,0.5959486961364746,N-0012
1849,S-0248,OFS Website Tracking System,0.5956507921218872,N-0012
1850,S-0166,IXIA BREAKINGPOINT,0.5936619639396667,N-0012
1851,S-0090,Smart Employee Learning Management,0.5932876467704773,N-0012
1852,S-0080,OceanX Cloud-based Enterprise Content Management (ECM),0.5920425653457642,N-0012
1853,S-0246,Remo Video Conferencing,0.5914960503578186,N-0012
1854,S-0181,Artificial Intelligence Camera Solutions,0.590545654296875,N-0012
1855,S-0159,Integrated Smart Film Solutions,0.5887909531593323,N-0012
1856,S-0244,ServiceNow - ITSM solution,0.5886622667312622,N-0012
1857,S-0150,A.I. Facial Recognition Application for Event Photo Delivery,0.5885607004165649,N-0012
1858,S-0140,Drivelock,0.5881856083869934,N-0012
1859,S-0070,Well井 Smart Water Station,0.5881350636482239,N-0012
1860,S-0136,Document Authentication,0.5878058671951294,N-0012
1861,S-0222,Agorize Innovation Sourcing Platform,0.5875192880630493,N-0012
1862,S-0207,Pandemic Management System,0.5843045711517334,N-0012
1863,S-0123,Complete Encryption with HSM,0.5819876194000244,N-0012
1864,S-0130,OpenLegacy API factory,0.5809949636459351,N-0012
1865,S-0052,OpenCloud CMP,0.5781866312026978,N-0012
1866,S-0034,Cloud Energy Management Platform,0.5773252248764038,N-0012
1867,S-0014,2D Face Re-identification,0.5747462511062622,N-0012
1868,S-0064,Smart Education(Class VR),0.5743657350540161,N-0012
1869,S-0281,"Smart 5G Integrated Multi-Operator Active Distributed Antenna Solution for Malls, Venues and Stadiums",0.57370924949646,N-0012
1870,S-0227,Intelligent liquid crystal dimming film,0.5727472305297852,N-0012
1871,S-0180,AR/ VR/ Interactive Design & Development,0.5712845921516418,N-0012
1872,S-0108,SparkXIO Smart Car Park Management System,0.5679947733879089,N-0012
1873,S-0237,V-K V-OS Cloud Solutions,0.565669059753418,N-0012
1874,S-0199,V-Key Mobile App Protection,0.5644169449806213,N-0012
1875,S-0177,MAD Gaze Smart Glass,0.5563685894012451,N-0012
1876,S-0294,Live Webinar Streaming service,0.554804265499115,N-0012
1877,S-0176,Epidemic prevention and control management system,0.5513026714324951,N-0012
1878,S-0201,Non image base access control,0.5505425930023193,N-0012
1879,S-0218,Chief,0.5489429235458374,N-0012
1880,S-0074,AI Chiller Plant – Smart Chiller Plant Optimization using Artificial Intelligence,0.5417298674583435,N-0012
1881,S-0073,Enlighted Multi-Features Micro IoT Sensors Solution,0.5401493310928345,N-0012
1882,S-0139,imVision,0.538500189781189,N-0012
1883,S-0098,ECOPLANT Solar Tracking Solar Panel System,0.5347665548324585,N-0012
1884,S-0158,Switchable Glass / Film,0.5260481238365173,N-0012
1885,S-0015,3D Face Re-identification,0.5247596502304077,N-0012
1886,S-0138,Radware DefensePro and AppWall,0.5232987999916077,N-0012
1887,S-0086,Micro-Chip 2.0 for pets,0.516514778137207,N-0012
1888,S-0173,Go VR Immersive - Hololens 2 Mixed Reality Solution,0.5102611780166626,N-0012
1889,S-0077,Anywhere Networks,0.5085717439651489,N-0012
1890,S-0146,Promon Shield - Application Protection and Security for IoT & Connected Devices,0.5058096051216125,N-0012
1891,S-0076,NEC InfoCage FileShell,0.5011693239212036,N-0012
1892,S-0148,Zscaler,0.5011270642280579,N-0012
1893,S-0042,Smart Water Duct Valve for shared Housing,0.4964035153388977,N-0012
1894,S-0144,ZIroh Labs - Advanced Data Privacy and Encryption Technology,0.4959713220596314,N-0012
1895,S-0167,IXIA ThreatARMOR,0.4843078553676605,N-0012
1896,S-0193,Dahua Body Temp Measurement Solution,0.4789969921112061,N-0012
1897,S-0109,Face Recognition Door Access System,0.4752101302146912,N-0012
1898,S-0141,HubSecurity,0.4720250070095062,N-0012
1899,S-0189,COVID19 Community Prevention Software System,0.4647600054740906,N-0012
1900,S-0178,Motor Insurance DLT Authentication System - MIDAS,0.4613312482833862,N-0012
1901,S-0145,Arcserve® Appliance Series,0.4587106108665466,N-0012
1902,S-0160,Smart glass,0.4483383297920227,N-0012
1903,S-0226,"Sky Drone - Autonomous Drone Solution (""Drone-in-a-Box"")",0.4008114039897919,N-0012
1904,S-0230,STEMHUB Education Platform,0.8120931386947632,N-0014
1905,S-0195,SuperAcc Document Intelligence,0.7876254916191101,N-0014
1906,S-0001,PixelEye Object Detection,0.7835692763328552,N-0014
1907,S-0050,Deloitte ASSIST,0.7806974053382874,N-0014
1908,S-0126,Self Service Business Intelligence,0.7768164873123169,N-0014
1909,S-0221,AI and IT enhanced learning platform,0.7671413421630859,N-0014
1910,S-0174,VR Training & Education System,0.7661923766136169,N-0014
1911,S-0047,Smart Taxpayer Services with Machine Learning,0.7651373147964478,N-0014
1912,S-0169,Robotic Assistant,0.7639327049255371,N-0014
1913,S-0275,SMore-OCR,0.7595729827880859,N-0014
1914,S-0219,"VR Virtual Store, Training & Education System",0.7584675550460815,N-0014
1915,S-0046,SAP Digital Boardroom,0.757811963558197,N-0014
1916,S-0031,PowerArena - Smart City Operations Platform,0.7563412189483643,N-0014
1917,S-0180,AR/ VR/ Interactive Design & Development,0.7560817003250122,N-0014
1918,S-0085,SAP Geospatial Asset Management,0.7527955770492554,N-0014
1919,S-0259,Software Robotic Solution - iBot,0.7485255002975464,N-0014
1920,S-0300,Smart Guiding Robot,0.7480691075325012,N-0014
1921,S-0090,Smart Employee Learning Management,0.7441892623901367,N-0014
1922,S-0127,Event Management technology,0.7434974908828735,N-0014
1923,S-0027,Big Data Enabler Service (project based),0.7386851310729979,N-0014
1924,S-0228,eClass Corporate Learning Management System (LMS),0.7386630177497864,N-0014
1925,S-0010,Precise Facility Crowd Analysis,0.7370279431343079,N-0014
1926,S-0246,Remo Video Conferencing,0.7369408011436462,N-0014
1927,S-0119,Ziizau - Optimization of route design,0.7349123358726501,N-0014
1928,S-0026,Knowledge Management Solution (KM Power),0.734521746635437,N-0014
1929,S-0082,A.I. Contact Center and User Engagement Solution,0.732733428478241,N-0014
1930,S-0231,AI Information push service management system,0.7310888767242432,N-0014
1931,S-0254,FormExtractor,0.7309229373931885,N-0014
1932,S-0252,Critical Event Management,0.730180025100708,N-0014
1933,S-0260,Mobile platform with handheld devices for on-site inspection and remote work duties,0.7299748659133911,N-0014
1934,S-0164,Relate App,0.7298529148101807,N-0014
1935,S-0002,DataCube Data Intelligent Automation Solution,0.7273738384246826,N-0014
1936,S-0179,"""TeleVoice""  AI Robot Solution for DHS (Demographic and Health Surveys)",0.7269659042358398,N-0014
1937,S-0236,Workflow automation solution,0.7255948781967163,N-0014
1938,S-0039,iQ-Dwell Time Management System,0.7255815267562866,N-0014
1939,S-0072,Digital Twin of the City (or Town),0.7235451340675354,N-0014
1940,S-0225,DocAnalyzer - Document Review Solution,0.7230586409568787,N-0014
1941,S-0019,Personalized Education System,0.7218862175941467,N-0014
1942,S-0197,WCL Robotic Process Automation Solution,0.7217077612876892,N-0014
1943,S-0097,Smart Home e-Health Monitoring and Care System,0.7205549478530884,N-0014
1944,S-0137,Splunk,0.7205517292022705,N-0014
1945,S-0044,AI Escalator Safety Monitoring System,0.7205094695091248,N-0014
1946,S-0152,Datax,0.7197975516319275,N-0014
1947,S-0113,Video Analytics Solution,0.7162671089172363,N-0014
1948,S-0037,4D Immersive CAVE,0.7152726650238037,N-0014
1949,S-0067,AR Smart Glass Assisted for equipment training and O&M,0.7134189605712891,N-0014
1950,S-0003,GeoSpatial Cloud,0.7129234671592712,N-0014
1951,S-0016,Cyclops -- Smart City & unmanned store solution,0.7128307819366455,N-0014
1952,S-0023,Payment Solution for Housing Authority and Leisure and Cultural Department,0.7119044065475464,N-0014
1953,S-0218,Chief,0.7095253467559814,N-0014
